time,party,strategy,votes,x,y
190,P0,sticker,96,0.9727041998640674,0.8723092530211258
191,P0,sticker,95,0.9727041998640674,0.8723092530211258
192,P0,sticker,95,0.9727041998640674,0.8723092530211258
193,P0,sticker,94,0.9727041998640674,0.8723092530211258
194,P0,sticker,95,0.9727041998640674,0.8723092530211258
195,P0,sticker,95,0.9727041998640674,0.8723092530211258
196,P0,sticker,94,0.9727041998640674,0.8723092530211258
197,P0,sticker,94,0.9727041998640674,0.8723092530211258
198,P0,sticker,94,0.9727041998640674,0.8723092530211258
199,P0,sticker,94,0.9727041998640674,0.8723092530211258
0,P1,random,121,0.3035737236709437,0.7425658224114974
1,P1,random,123,0.30476727899516637,0.7410837477154756
2,P1,random,125,0.30432716849250724,0.7438486268324173
3,P1,random,127,0.30669097483335633,0.7393738886633512
4,P1,random,132,0.31011032259305166,0.7376387314828454
5,P1,random,134,0.31015171328616525,0.7366065196363231
6,P1,random,137,0.3117616977285027,0.7322437627155931
7,P1,random,141,0.3125070951692987,0.7315478657667612
8,P1,random,144,0.31208307485645786,0.7284403312275876
9,P1,random,147,0.31614672224702506,0.7295356594923385
10,P1,random,148,0.3127704055503321,0.7320262442755394
11,P1,random,149,0.3156454958886287,0.7332539631885531
12,P1,random,153,0.3173771324829897,0.7314177084037935
13,P1,random,157,0.31775410230390194,0.7317080066761187
14,P1,random,159,0.3140892739803186,0.7341642116483222
15,P1,random,161,0.31332056071796255,0.7371476998497604
16,P1,random,163,0.3112499148683154,0.7348255124161447
17,P1,random,166,0.3137878145027429,0.7363015559888593
18,P1,random,167,0.30942780556688604,0.735596491869504
19,P1,random,172,0.3066159828006663,0.7380950751461305
20,P1,random,172,0.3103392532206042,0.7378623272179498
21,P1,random,177,0.315159300210078,0.7370497552247149
22,P1,random,181,0.31381195793357675,0.7398831226426279
23,P1,random,183,0.31637438395810974,0.7417714362073642
24,P1,random,185,0.3122036271668837,0.7386887338706563
25,P1,random,186,0.31236697105843697,0.7339802192095446
26,P1,random,189,0.31236967625303547,0.7339091140480096
27,P1,random,190,0.31346015537965727,0.7315670153878274
28,P1,random,191,0.31271981141075267,0.7310017403419385
29,P1,random,193,0.31573240555139265,0.7265457037123612
30,P1,random,197,0.31192334498762553,0.7269537626030232
31,P1,random,199,0.31618147433410515,0.7306708400576929
32,P1,random,204,0.315978035188354,0.7285300812892177
33,P1,random,207,0.31342817736520834,0.7290049699306635
34,P1,random,209,0.3119980678576289,0.7334809378342613
35,P1,random,209,0.312384291661864,0.7291963575480435
36,P1,random,209,0.3160932213420129,0.7253995490405449
37,P1,random,211,0.32071274288211626,0.7292055103777185
38,P1,random,215,0.320023888477455,0.7301495283752315
39,P1,random,217,0.316693418782758,0.7266163061273208
40,P1,random,218,0.31635556311749885,0.7246013648642907
41,P1,random,219,0.31217469208372384,0.7270460547226847
42,P1,random,219,0.3158090214004631,0.7245240639974114
43,P1,random,223,0.3169926879780483,0.7217290757738428
44,P1,random,230,0.31625656346941533,0.7230895183588438
45,P1,random,228,0.3166487605561502,0.7278988298520414
46,P1,random,227,0.318083598299528,0.7307157734544151
47,P1,random,232,0.3164041922035781,0.7309834422584343
